""	"Mean_log10_ratio_MTP_vs_MT"	"Mean_log10_ratio_MT_vs_MB"	"clusters"
"B2RVD5"	0.07931785	-0.7421202	14
"Q546G4"	0.1974455	-0.8084826	14
"Q3TX21"	-0.07066112	-0.7546735	14
"Q9WV85"	-0.04499592	-0.801828	14
"E0CY48"	0.7681096	-0.0532967	6
"O35598"	-0.205491	-0.28101	6
"Q7TMF3"	0.03720408	0.06682797	6
"Q9Z0N2"	-0.5357051	-0.2110402	6
"V9GXQ2"	0.05580431	-0.2141152	6
"A0A0A6YWH2"	0.5383304	-0.2721506	16
"A2AMV1"	0.04954265	-0.4027742	16
"Q3TJN1"	0.03484606	-0.4669337	16
"Q3UAT9"	0.1079111	-0.4256317	16
"Q3UNC9"	0.199672	-0.5438904	16
"Q3UL31"	0.2228386	-0.3722003	16
"Q4V9X1"	0.1525493	-0.3994017	16
"Q4VA32"	0.5368403	-0.2652181	16
"Q8K298"	0.03847101	-0.5309811	16
"Q99KW3-4"	0.1650063	-0.3784861	16
"Q9JMH6"	0.06244204	-0.4355762	16
"A2RTA0"	0.05975931	1.445768	7
"B1ATS4"	0.01001543	1.412169	7
"D3YUN3"	0.07995783	1.319583	7
"G5E8J6"	0.07515365	1.506011	7
"A2AAN3"	-0.1813338	0.3773928	8
"E9Q2H1"	-0.2825206	0.2511722	8
"P17047-3"	-0.1835988	0.3624691	8
"Q8CGP0"	-0.094441	0.2921529	8
"Q99MR3"	-0.114169	0.3522527	8
"Q9CY27"	-0.1580838	0.416239	8
"Q9D8T7"	-0.2902887	0.06628863	8
"A0A0A6YY47"	-0.02004782	0.4324332	2
"D3Z111"	-0.0857526	0.4302122	2
"G3X9U9"	-0.02765533	0.4305523	2
"G3XA48"	-0.05655188	0.4251799	2
"Q921D0"	-0.07684528	0.4040648	2
"Q548W7"	-0.04655556	0.4360487	2
"P47739"	-0.07286377	0.4057652	2
"P50543"	-0.1063089	0.5063874	4
"Q3UQV0"	-0.1063723	0.4850686	4
"Q544G5"	-0.1387203	0.5128746	4
"Q5FWA0"	-0.05214077	0.4834722	4
"Q64449"	-0.08907499	0.5271419	4
"Q8K4Z3"	-0.0828904	0.4583537	4
"Q8R1G6"	-0.07702553	0.4776047	4
"Q91V76"	-0.06795628	0.5105537	4
"Q9D967"	-0.07988809	0.4663825	4
"E9Q405"	0.06342482	0.487219	12
"D3YVV9"	0.1032506	0.5236892	12
"E9PYJ9"	0.06278271	0.5144033	12
"P13541"	0.07322844	0.5087063	12
"P63328-2"	0.05271401	0.5216855	12
"Q8C650-2"	0.07416045	0.3805223	12
"Q9CQW0"	0.5591522	0.2487332	12
"Q9CZ42-2"	0.05950136	0.4786452	12
"Q9DAK9"	0.05356406	0.4940792	12
"O88844"	-0.007881815	0.5321493	3
"Q4FJQ7"	0.01055977	0.5372845	3
"P10922"	0.00812968	0.5393703	3
"Q6ZWR0"	-0.06323735	0.5465947	3
"Q791P0"	0.02050529	0.5069169	3
"Q9D172"	-0.02707289	0.5482207	3
"Q9ERE7"	0.01200486	0.5575373	3
"Q9ET22"	0.04639714	0.5500447	3
"Q9R118"	0.01908227	0.5643955	3
"A0A0A0MQ90"	-0.000466621	0.5091951	9
"A2A6Q8"	-0.02953094	0.4912533	9
"A3KGE7"	-0.03019316	0.4843094	9
"O09174"	0.0103499	0.4773948	9
"Q8BXC0"	-0.006902926	0.4856192	9
"O35114"	-0.003421488	0.5103273	9
"Q3UCD9"	-0.01131816	0.4959822	9
"P52503"	0.007527322	0.4154743	9
"Q3UGN9"	-0.004957765	0.5010433	9
"Q8CFB8"	-0.01409696	0.4970211	9
"Q8N7N5"	0.003821188	0.4736688	9
"A0A087WRP7"	0.01790422	1.074535	15
"E9Q8N1"	0.009596604	0.940017	15
"A2AUC9"	0.04410485	0.9488766	15
"K3W4M2"	0.004838496	0.9590368	15
"Q5NCI4"	-0.05728699	0.9616215	15
"Q3UVB1"	-0.05672692	0.9761019	15
"Q1XH17"	-0.01160575	1.166273	15
"Q5SX40"	-0.07848579	1.1745	15
"Q7TQ48-2"	0.05196438	1.072	15
"Q8C0D9"	-0.04291967	0.9929321	15
"Q9WV06"	0.06211651	1.149281	15
"A2AMM0"	-0.1201668	0.7970077	13
"A2AQ53"	-0.04053722	0.8421913	13
"P21981"	-0.03378951	0.7093506	13
"Q545G1"	-0.02767326	0.7458181	13
"Q5SX39"	-0.03812884	0.7506515	13
"Q80VB6"	0.05139802	0.8044378	13
"Q8R429"	0.004028444	0.7924845	13
"Q99KC8"	-0.02855091	0.7604744	13
"Q9D154"	0.01190652	0.7413881	13
"Q9D783"	-0.03961178	0.7699596	13
"Q9WVJ3-2"	-0.09379387	0.8224114	13
"B2RXX9"	-0.01480533	0.5991123	1
"D3Z442"	-0.01352451	0.6282771	1
"G3UZD6"	0.02866447	0.6283526	1
"Q540I4"	0.01920685	0.5936726	1
"O88322"	-0.04867835	0.6089515	1
"Q3TNY9"	-0.03642602	0.6797548	1
"P62737"	-0.02958788	0.6006948	1
"Q01279"	-0.0317084	0.6192866	1
"B0QZL1"	-0.09529025	0.6933207	5
"B7ZCL7"	-0.1180947	0.5975147	5
"O70209"	-0.1322604	0.6535549	5
"P62204"	-0.1038185	0.5582018	5
"Q9DAV6"	-0.1026069	0.6263835	5
"A2A6I8"	0.08764875	0.6831064	10
"E9QP62"	0.03990752	0.6748522	10
"K3W4R6"	0.1049181	0.683477	10
"P13542"	0.04063447	0.6509883	10
"P28650"	0.02844355	0.7325152	10
"P47857"	0.04732758	0.6553213	10
"P70402"	0.1128426	0.8037542	10
"Q62426"	0.01120356	0.6725156	10
"Q8CI43"	0.0569831	0.7053528	10
"Q9ET78"	0.02103745	0.6477894	10
"A2AQA9"	0.06310188	0.5977038	11
