""	"TP_MT"	"MTP_MB"	"MT_MB"	"clusters"
"Q4VA32"	0.5368403	0.2371562	-0.2652181	5
"O35598"	-0.205491	0.5887928	-0.28101	5
"A0A0A6YWH2"	0.5383304	0.3862692	-0.2721506	5
"V9GXQ2"	0.05580431	0.3140792	-0.2141152	5
"Q7TMF3"	0.03720408	0.5268357	0.06682797	5
"Q546G4"	0.1974455	-0.6102585	-0.8084826	6
"Q8K298"	0.03847101	-0.4244023	-0.5309811	6
"Q3TJN1"	0.03484606	-0.5084332	-0.4669337	6
"Q3UNC9"	0.199672	-0.3693524	-0.5438904	6
"Q3TX21"	-0.07066112	-0.8589215	-0.7546735	6
"Q9Z0N2"	-0.5357051	-1.094177	-0.2110402	6
"B2RVD5"	0.07931785	-0.6090078	-0.7421202	6
"Q3UAT9"	0.1079111	-0.2499783	-0.4256317	6
"A2AMV1"	0.04954265	-0.4427999	-0.4027742	6
"Q9WV85"	-0.04499592	-0.5169334	-0.801828	6
"Q99KW3-4"	0.1650063	-0.2754568	-0.3784861	6
"Q9JMH6"	0.06244204	-0.3661518	-0.4355762	6
"Q4V9X1"	0.1525493	-0.250785	-0.3994017	6
"Q3UL31"	0.2228386	-0.103609	-0.3722003	6
"Q9WV06"	0.06211651	1.142807	1.149281	7
"B1ATS4"	0.01001543	1.435781	1.412169	7
"A2RTA0"	0.05975931	1.240672	1.445768	7
"G5E8J6"	0.07515365	1.593784	1.506011	7
"Q5SX40"	-0.07848579	1.147972	1.1745	7
"D3YUN3"	0.07995783	1.243572	1.319583	7
"Q9CQW0"	0.5591522	0.9853466	0.2487332	1
"E0CY48"	0.7681096	0.8255228	-0.0532967	1
"Q8R429"	0.004028444	0.8166552	0.7924845	4
"Q8C0D9"	-0.04291967	1.039142	0.9929321	4
"Q9WVJ3-2"	-0.09379387	0.8391497	0.8224114	4
"Q80VB6"	0.05139802	0.9009949	0.8044378	4
"A2AQ53"	-0.04053722	0.8000996	0.8421913	4
"Q9D783"	-0.03961178	0.7102783	0.7699596	4
"A2AUC9"	0.04410485	0.9455853	0.9488766	4
"A0A087WRP7"	0.01790422	0.7151493	1.074535	4
"Q3UVB1"	-0.05672692	0.8997206	0.9761019	4
"A2AMM0"	-0.1201668	0.7415826	0.7970077	4
"P70402"	0.1128426	0.8083806	0.8037542	4
"Q5SX39"	-0.03812884	0.8923906	0.7506515	4
"Q8CI43"	0.0569831	0.8002376	0.7053528	4
"Q545G1"	-0.02767326	0.7487497	0.7458181	4
"Q5NCI4"	-0.05728699	0.8891969	0.9616215	4
"Q7TQ48-2"	0.05196438	0.8639596	1.072	4
"K3W4R6"	0.1049181	0.8637177	0.683477	4
"A2A6I8"	0.08764875	0.8632525	0.6831064	4
"P58774"	0.07983084	0.9473994	0.5881702	4
"Q1XH17"	-0.01160575	0.8301178	1.166273	4
"E9Q8N1"	0.009596604	1.006819	0.940017	4
"Q99KC8"	-0.02855091	0.7523268	0.7604744	4
"P47739"	-0.07286377	0.391013	0.4057652	2
"Q921D0"	-0.07684528	0.3798771	0.4040648	2
"Q544G5"	-0.1387203	0.3653487	0.5128746	2
"Q548W7"	-0.04655556	0.3867972	0.4360487	2
"G3XA48"	-0.05655188	0.3806318	0.4251799	2
"Q3UQV0"	-0.1063723	0.3517823	0.4850686	2
"D3Z111"	-0.0857526	0.3997332	0.4302122	2
"Q8R1G6"	-0.07702553	0.3517059	0.4776047	2
"K3W4M2"	0.004838496	0.1393724	0.9590368	2
"Q99MR3"	-0.114169	0.4202946	0.3522527	2
"Q9D8T7"	-0.2902887	0.2321317	0.06628863	2
"E9Q2H1"	-0.2825206	-0.08677938	0.2511722	2
"A2AAN3"	-0.1813338	0.3561201	0.3773928	2
"P17047-3"	-0.1835988	0.2483615	0.3624691	2
"Q9CY27"	-0.1580838	0.2519516	0.416239	2
"G3UZD6"	0.02866447	0.0635246	0.6283526	2
"P28650"	0.02844355	0.725598	0.7325152	3
"Q9D154"	0.01190652	0.7009534	0.7413881	3
"D3Z442"	-0.01352451	0.6545981	0.6282771	3
"E9QMV2"	0.1518461	0.669927	0.5515711	3
"P68134"	0.04060741	0.6233317	0.5626764	3
"P62737"	-0.02958788	0.5583431	0.6006948	3
"Q3TNY9"	-0.03642602	0.6358044	0.6797548	3
"Q3TVI5"	0.06273943	0.6328555	0.5941976	3
"Q62426"	0.01120356	0.706558	0.6725156	3
"Q9ET22"	0.04639714	0.6531346	0.5500447	3
"B0QZL1"	-0.09529025	0.6470387	0.6933207	3
"Q9R118"	0.01908227	0.5950867	0.5643955	3
"Q9ET78"	0.02103745	0.683875	0.6477894	3
"E9QP62"	0.03990752	0.7235988	0.6748522	3
"P13541"	0.07322844	0.6326137	0.5087063	3
"B2RXX9"	-0.01480533	0.5696045	0.5991123	3
"P13542"	0.04063447	0.6578686	0.6509883	3
"A2AQA9"	0.06310188	0.6458876	0.5977038	3
"O88322"	-0.04867835	0.578245	0.6089515	3
"G5E8R3"	0.05039156	0.6233111	0.5879841	3
"P47857"	0.04732758	0.6393676	0.6553213	3
"Q8BZF8"	0.1591668	0.7430151	0.5899705	3
"E9PUM3"	0.02768911	0.6380576	0.6014909	3
"Q9DAV6"	-0.1026069	0.5835564	0.6263835	3
"D3YVV9"	0.1032506	0.6594229	0.5236892	3
"D3YU08"	0.05866642	0.5732195	0.574161	3
"P21981"	-0.03378951	0.5729216	0.7093506	3
"P20801"	0.0861269	0.6443213	0.5677115	3
"Q8C650-2"	0.07416045	0.6139187	0.3805223	8
"O09174"	0.0103499	0.5193031	0.4773948	8
"Q8K4Z3"	-0.0828904	0.49325	0.4583537	8
"P62204"	-0.1038185	0.4250586	0.5582018	8
"Q9CZ42-2"	0.05950136	0.5672876	0.4786452	8
"Q9WTR5"	0.06026176	0.476523	0.6036408	8
"A3KGE7"	-0.03019316	0.4035553	0.4843094	8
"Q3UCD9"	-0.01131816	0.4800714	0.4959822	8
"Q9D172"	-0.02707289	0.5715759	0.5482207	8
"Q8N7N5"	0.003821188	0.5007631	0.4736688	8
"B7ZCL7"	-0.1180947	0.4801197	0.5975147	8
"Q01279"	-0.0317084	0.5101967	0.6192866	8
