""	"Sepal.Length"	"Petal.Width"	"Sepal.Width"	"Petal.Length"	"clusters"
"2"	4.9	0.2	3	1.4	5
"3"	4.7	0.2	3.2	1.3	5
"4"	4.6	0.2	3.1	1.5	5
"7"	4.6	0.3	3.4	1.4	5
"10"	4.9	0.1	3.1	1.5	5
"12"	4.8	0.2	3.4	1.6	5
"13"	4.8	0.1	3	1.4	5
"23"	4.6	0.2	3.6	1	5
"26"	5	0.2	3	1.6	5
"30"	4.7	0.2	3.2	1.6	5
"31"	4.8	0.2	3.1	1.6	5
"35"	4.9	0.2	3.1	1.5	5
"36"	5	0.2	3.2	1.2	5
"46"	4.8	0.3	3	1.4	5
"48"	4.6	0.2	3.2	1.4	5
"50"	5	0.2	3.3	1.4	5
"9"	4.4	0.2	2.9	1.4	10
"14"	4.3	0.1	3	1.1	10
"39"	4.4	0.2	3	1.3	10
"42"	4.5	0.3	2.3	1.3	10
"43"	4.4	0.2	3.2	1.3	10
"6"	5.4	0.4	3.9	1.7	11
"15"	5.8	0.2	4	1.2	11
"16"	5.7	0.4	4.4	1.5	11
"17"	5.4	0.4	3.9	1.3	11
"19"	5.7	0.3	3.8	1.7	11
"33"	5.2	0.1	4.1	1.5	11
"34"	5.5	0.2	4.2	1.4	11
"1"	5.1	0.2	3.5	1.4	1
"5"	5	0.2	3.6	1.4	1
"8"	5	0.2	3.4	1.5	1
"11"	5.4	0.2	3.7	1.5	1
"18"	5.1	0.3	3.5	1.4	1
"20"	5.1	0.3	3.8	1.5	1
"21"	5.4	0.2	3.4	1.7	1
"22"	5.1	0.4	3.7	1.5	1
"28"	5.2	0.2	3.5	1.5	1
"29"	5.2	0.2	3.4	1.4	1
"32"	5.4	0.4	3.4	1.5	1
"37"	5.5	0.2	3.5	1.3	1
"38"	4.9	0.1	3.6	1.4	1
"40"	5.1	0.2	3.4	1.5	1
"41"	5	0.3	3.5	1.3	1
"47"	5.1	0.2	3.8	1.6	1
"49"	5.3	0.2	3.7	1.5	1
"24"	5.1	0.5	3.3	1.7	12
"25"	4.8	0.2	3.4	1.9	12
"27"	5	0.4	3.4	1.6	12
"44"	5	0.6	3.5	1.6	12
"45"	5.1	0.4	3.8	1.9	12
"106"	7.6	2.1	3	6.6	6
"108"	7.3	1.8	2.9	6.3	6
"110"	7.2	2.5	3.6	6.1	6
"118"	7.7	2.2	3.8	6.7	6
"119"	7.7	2.3	2.6	6.9	6
"123"	7.7	2	2.8	6.7	6
"126"	7.2	1.8	3.2	6	6
"131"	7.4	1.9	2.8	6.1	6
"132"	7.9	2	3.8	6.4	6
"136"	7.7	2.3	3	6.1	6
"101"	6.3	2.5	3.3	6	7
"105"	6.5	2.2	3	5.8	7
"116"	6.4	2.3	3.2	5.3	7
"121"	6.9	2.3	3.2	5.7	7
"125"	6.7	2.1	3.3	5.7	7
"137"	6.3	2.4	3.4	5.6	7
"141"	6.7	2.4	3.1	5.6	7
"144"	6.8	2.3	3.2	5.9	7
"145"	6.7	2.5	3.3	5.7	7
"149"	6.2	2.3	3.4	5.4	7
"103"	7.1	2.1	3	5.9	15
"104"	6.3	1.8	2.9	5.6	15
"109"	6.7	1.8	2.5	5.8	15
"111"	6.5	2	3.2	5.1	15
"113"	6.8	2.1	3	5.5	15
"117"	6.5	1.8	3	5.5	15
"129"	6.4	2.1	2.8	5.6	15
"130"	7.2	1.6	3	5.8	15
"133"	6.4	2.2	2.8	5.6	15
"138"	6.4	1.8	3.1	5.5	15
"140"	6.9	2.1	3.1	5.4	15
"142"	6.9	2.3	3.1	5.1	15
"146"	6.7	2.3	3	5.2	15
"148"	6.5	2	3	5.2	15
"73"	6.3	1.5	2.5	4.9	4
"84"	6	1.6	2.7	5.1	4
"112"	6.4	1.9	2.7	5.3	4
"120"	6	1.5	2.2	5	4
"124"	6.3	1.8	2.7	4.9	4
"127"	6.2	1.8	2.8	4.8	4
"134"	6.3	1.5	2.8	5.1	4
"135"	6.1	1.4	2.6	5.6	4
"147"	6.3	1.9	2.5	5	4
"71"	5.9	1.8	3.2	4.8	13
"102"	5.8	1.9	2.7	5.1	13
"114"	5.7	2	2.5	5	13
"115"	5.8	2.4	2.8	5.1	13
"122"	5.6	2	2.8	4.9	13
"128"	6.1	1.8	3	4.9	13
"139"	6	1.8	3	4.8	13
"143"	5.8	1.9	2.7	5.1	13
"150"	5.9	1.8	3	5.1	13
"62"	5.9	1.5	3	4.2	2
"64"	6.1	1.4	2.9	4.7	2
"69"	6.2	1.5	2.2	4.5	2
"72"	6.1	1.3	2.8	4	2
"74"	6.1	1.2	2.8	4.7	2
"75"	6.4	1.3	2.9	4.3	2
"79"	6	1.5	2.9	4.5	2
"86"	6	1.6	3.4	4.5	2
"88"	6.3	1.3	2.3	4.4	2
"92"	6.1	1.4	3	4.6	2
"98"	6.2	1.3	2.9	4.3	2
"51"	7	1.4	3.2	4.7	14
"52"	6.4	1.5	3.2	4.5	14
"53"	6.9	1.5	3.1	4.9	14
"55"	6.5	1.5	2.8	4.6	14
"57"	6.3	1.6	3.3	4.7	14
"59"	6.6	1.3	2.9	4.6	14
"66"	6.7	1.4	3.1	4.4	14
"76"	6.6	1.4	3	4.4	14
"77"	6.8	1.4	2.8	4.8	14
"78"	6.7	1.7	3	5	14
"87"	6.7	1.5	3.1	4.7	14
"58"	4.9	1	2.4	3.3	9
"61"	5	1	2	3.5	9
"94"	5	1	2.3	3.3	9
"99"	5.1	1.1	2.5	3	9
"56"	5.7	1.3	2.8	4.5	3
"67"	5.6	1.5	3	4.5	3
"85"	5.4	1.5	3	4.5	3
"91"	5.5	1.2	2.6	4.4	3
"107"	4.9	1.7	2.5	4.5	3
"54"	5.5	1.3	2.3	4	8
"60"	5.2	1.4	2.7	3.9	8
"63"	6	1	2.2	4	8
"65"	5.6	1.3	2.9	3.6	8
"68"	5.8	1	2.7	4.1	8
"70"	5.6	1.1	2.5	3.9	8
"80"	5.7	1	2.6	3.5	8
"81"	5.5	1.1	2.4	3.8	8
"82"	5.5	1	2.4	3.7	8
"83"	5.8	1.2	2.7	3.9	8
"89"	5.6	1.3	3	4.1	8
"90"	5.5	1.3	2.5	4	8
"93"	5.8	1.2	2.6	4	8
"95"	5.6	1.3	2.7	4.2	8
"96"	5.7	1.2	3	4.2	8
"97"	5.7	1.3	2.9	4.2	8
"100"	5.7	1.3	2.8	4.1	8
