""	"hp"	"cyl"	"disp"	"mpg"	"wt"	"am"	"drat"	"carb"	"gear"	"qsec"	"vs"	"clusters"
"Mazda RX4 Wag"	-0.535092839730217	-0.104987808575239	-0.570619818667904	0.150884824647657	-0.349785269100972	1.18990141802394	0.567513685376339	0.735203081008625	0.42355418561047	-0.463780820374691	-0.868027777333319	2
"Datsun 710"	-0.783040458821562	-1.22485776671113	-0.990182090888924	0.449543446630647	-0.917004624399846	1.18990141802394	0.473999586859126	-1.12215207101316	0.42355418561047	0.42600681690526	1.11603571371427	2
"Hornet 4 Drive"	-0.535092839730217	-0.104987808575239	0.22009369436402	0.217253407310543	-0.00229953792688741	-0.814143075490065	-0.966117530305962	-1.12215207101316	-0.931819208343033	0.89048715586272	1.11603571371427	2
"Valiant"	-0.608018610051201	-0.104987808575239	-0.046166978391628	-0.330287399658272	0.248094591889733	-0.814143075490065	-1.56460776081613	-1.12215207101316	-0.931819208343033	1.32698675150949	1.11603571371427	2
"Merc 230"	-0.753870150693168	-1.22485776671113	-0.725535119180281	0.449543446630647	-0.0687306335925212	-0.814143075490065	0.604919324783224	-0.503033687005901	0.42355418561047	2.82675459296249	1.11603571371427	2
"Merc 280"	-0.34548583689566	-0.104987808575239	-0.509299178881755	-0.147773797335334	0.227654254761845	-0.814143075490065	0.604919324783224	0.735203081008625	0.42355418561047	0.252526208378981	1.11603571371427	2
"Merc 450SE"	0.485867944763553	1.01488214956065	0.363713087547369	-0.612353875975541	0.871524874290296	-0.814143075490065	-0.984820350009405	0.116084697001362	-0.931819208343033	-0.251127171213446	-0.868027777333319	2
"Porsche 914-2"	-0.812210766949955	-1.22485776671113	-0.890939476498183	0.980492107933741	-1.10096765855083	1.18990141802394	1.5587631296588	-0.503033687005901	1.77892757956397	-0.642857577563109	-0.868027777333319	2
"Maserati Bora"	2.74656682471405	1.01488214956065	0.567039419469864	-0.844643915295645	0.360516446093113	1.18990141802394	-0.105787823947598	3.21167661703768	1.77892757956397	-1.8180487966121	-0.868027777333319	2
"Mazda RX4"	-0.535092839730217	-0.104987808575239	-0.570619818667904	0.150884824647657	-0.610399567481535	1.18990141802394	0.567513685376339	0.735203081008625	0.42355418561047	-0.777165145454422	-0.868027777333319	1
"Duster 360"	1.43390295893634	1.01488214956065	1.04308122833602	-0.960788934955696	0.360516446093113	-0.814143075490065	-0.722980874161207	0.735203081008625	-0.931819208343033	-1.12412636250698	-0.868027777333319	1
"Merc 240D"	-1.23518023481166	-1.22485776671113	-0.677930938293665	0.715017777282194	-0.0278499593367465	-0.814143075490065	0.174754471604042	-0.503033687005901	0.42355418561047	1.20387148094245	1.11603571371427	1
"Merc 450SL"	0.485867944763553	1.01488214956065	0.363713087547369	-0.463024564984046	0.524039143116211	-0.814143075490065	-0.984820350009405	0.116084697001362	-0.931819208343033	-0.139204197970683	-0.868027777333319	1
"Cadillac Fleetwood"	0.850496796368472	1.01488214956065	1.94675381465822	-1.60788261591884	2.07750476483565	-0.814143075490065	-1.2466598258576	0.735203081008625	-0.931819208343033	0.0734494511905628	-0.868027777333319	1
"Chrysler Imperial"	1.21512564797339	1.01488214956065	1.68856164713759	-0.89442035229281	2.17459636619311	-0.814143075490065	-0.685575234754321	0.735203081008625	-0.931819208343033	-0.239934873889168	-0.868027777333319	1
"Fiat 128"	-1.17683961855487	-1.22485776671113	-1.226589294275	2.04238943053993	-1.03964664716717	1.18990141802394	0.904164440038308	-1.12215207101316	0.42355418561047	0.907275601849133	1.11603571371427	1
"Honda Civic"	-1.38103177545363	-1.22485776671113	-1.25079480998006	1.7105465172255	-1.63752650815787	1.18990141802394	2.49390411483094	-0.503033687005901	0.42355418561047	0.375641478946017	1.11603571371427	1
"Toyota Corolla"	-1.19142477261907	-1.22485776671113	-1.28790993406115	2.29127161552575	-1.41268279975111	1.18990141802394	1.1660039158865	-1.12215207101316	0.42355418561047	1.14790999432107	1.11603571371427	1
"Toyota Corona"	-0.724699842564775	-1.22485776671113	-0.892553177545187	0.233845552976265	-0.768812180222662	-0.814143075490065	0.193457291307485	-1.12215207101316	-0.931819208343033	1.20946762960459	1.11603571371427	1
"Dodge Challenger"	0.0483133228376517	1.01488214956065	0.704204008465197	-0.761683186967036	0.309415603273395	-0.814143075490065	-1.56460776081613	-0.503033687005901	-0.931819208343033	-0.547723050306761	-0.868027777333319	1
"AMC Javelin"	0.0483133228376517	1.01488214956065	0.591244935174923	-0.811459623964201	0.222544170479873	-0.814143075490065	-0.835197792381863	-0.503033687005901	-0.931819208343033	-0.307088657834825	-0.868027777333319	1
"Camaro Z28"	1.43390295893634	1.01488214956065	0.962396175985825	-1.12671039161291	0.636460997319592	-0.814143075490065	0.249565750417813	0.735203081008625	-0.931819208343033	-1.36476075497892	-0.868027777333319	1
"Pontiac Firebird"	0.41294217444257	1.01488214956065	1.36582143773681	-0.147773797335334	0.641571081601564	-0.814143075490065	-0.966117530305962	-0.503033687005901	-0.931819208343033	-0.446992374388276	-0.868027777333319	1
"Ferrari Dino"	0.41294217444257	-0.104987808575239	-0.691647397193198	-0.0648130690067253	-0.45709703902238	1.18990141802394	0.0438347336799438	1.97343984902315	1.77892757956397	-1.31439541701968	-0.868027777333319	1
"Volvo 142E"	-0.549677993794414	-1.22485776671113	-0.885291522833669	0.217253407310543	-0.446876870458437	1.18990141802394	0.960272899148636	-0.503033687005901	0.42355418561047	0.420410668243123	1.11603571371427	1
"Hornet Sportabout"	0.41294217444257	1.01488214956065	1.04308122833602	-0.230734525663942	0.227654254761845	-0.814143075490065	-0.835197792381863	-0.503033687005901	-0.931819208343033	-0.463780820374691	-0.868027777333319	3
"Merc 280C"	-0.34548583689566	-0.104987808575239	-0.509299178881755	-0.380063836655437	0.227654254761845	-0.814143075490065	0.604919324783224	0.735203081008625	0.42355418561047	0.588295128107263	1.11603571371427	3
"Merc 450SLC"	0.485867944763553	1.01488214956065	0.363713087547369	-0.811459623964201	0.57513998593593	-0.814143075490065	-0.984820350009405	0.116084697001362	-0.931819208343033	0.0846417485148387	-0.868027777333319	3
"Lincoln Continental"	0.996348337010439	1.01488214956065	1.84993175183798	-1.60788261591884	2.25533569784827	-0.814143075490065	-1.1157400879335	0.735203081008625	-0.931819208343033	-0.0160889274036462	-0.868027777333319	3
"Fiat X1-9"	-1.17683961855487	-1.22485776671113	-1.22416874270449	1.19619000158812	-1.31048111411168	1.18990141802394	0.904164440038308	-1.12215207101316	0.42355418561047	0.588295128107263	1.11603571371427	3
"Lotus Europa"	-0.491337377537627	-1.22485776671113	-1.09426580842068	1.7105465172255	-1.7417722275101	1.18990141802394	0.324377029231584	-0.503033687005901	1.77892757956397	-0.530934604320349	1.11603571371427	3
"Ford Pantera L"	1.71102088615608	1.01488214956065	0.970464681220845	-0.711906749969871	-0.0482902964646338	1.18990141802394	1.1660039158865	0.735203081008625	1.77892757956397	-1.87401028323348	-0.868027777333319	3
