""	"Mean BirA.x"	"Mean FLNc.x"	"cluster"	"id"	"ÿþBirA_1"	"BirA_2"	"BirA_3"	"FLNc_1"	"FLNc_2"	"FLNc_3"	"Mean BirA.y"	"Mean FLNc.y"	"Number of proteins"	"Peptides"	"Unique peptides"	"Sequence coverage [%]"	"Unique sequence coverage [%]"	"Mol. weight [kDa]"	"Q-value"	"Score"	"Intensity"	"Mean"	"BirA_11"	"BirA_12"	"BirA_13"	"BirA_21"	"BirA_22"	"BirA_23"	"BirA_31"	"BirA_32"	"BirA_33"	"FLNc_11"	"FLNc_12"	"FLNc_13"	"FLNc_21"	"FLNc_22"	"FLNc_23"	"FLNc_31"	"FLNc_32"	"FLNc_33"	"Protein IDs"	"Majority protein IDs"	"Protein names"	"Gene names"
"1"	0.6543474	1.256443	1	"152"	0.9044228	0.8415735	0.2170461	1.195404	1.419322	1.154603	0.6543474	1.256443	2	15	15	9	9	215.05	0	31.699	51359000	0.960409455	0.900421739	0.968431532	0.844415009	0.887099445	0.830126584	0.807494462	0.290546536	0.143545642	NA	1.003606558	1.062697768	1.519906759	1.594534159	1.244109869	NA	1.263257265	1.045948505	NA	"B1AUX2;Q61191"	"B1AUX2;Q61191"	"Host cell factor 1;HCF N-terminal chain 1;HCF N-terminal chain 2;HCF N-terminal chain 3;HCF N-terminal chain 4;HCF N-terminal chain 5;HCF N-terminal chain 6;HCF C-terminal chain 1;HCF C-terminal chain 2;HCF C-terminal chain 3;HCF C-terminal chain 4;HCF C-terminal chain 5;HCF C-terminal chain 6"	"Hcfc1"
"2"	0.4537435	0.7985125	1	"29"	0.7645479	0.6480447	-0.05136213	NA	NA	0.7985125	0.4537435	0.7985125	12	8	8	14.1	14.1	103.94	0	28.246	9061600	0.595389281	0.803723335	NA	0.725372493	0.603198528	NA	0.692890942	-0.051362131	NA	NA	NA	NA	NA	NA	NA	NA	0.798512518	NA	NA	"A0A0H2UH17;A0A0G2JDV6;Q80X50-2;Q80X50-3;Q80X50-4;Q80X50;Q80X50-5;A0A0G2JDT1;A0A0G2JGD0;A0A0G2JG47;A0A0G2JE24;A0A0G2JFN7"	"A0A0H2UH17;A0A0G2JDV6;Q80X50-2;Q80X50-3;Q80X50-4;Q80X50;Q80X50-5"	"Ubiquitin-associated protein 2-like"	"Ubap2l"
"3"	0.5831617	0.9961805	1	"75"	0.8217458	0.8341073	0.09363177	0.8472466	1.118867	1.022428	0.5831617	0.9961805	7	13	13	14.9	14.9	115.26	0	16.208	19607000	0.834653827	0.686224997	0.952438831	0.82657361	0.650190949	0.979083776	0.873047292	0.093631774	NA	NA	NA	0.69323194	1.001261234	NA	0.888535857	1.349197268	1.022428393	NA	NA	"A0A0U1RPL0;Q7TQH0-3;Q7TQH0;Q7TQH0-2;Q3TGG2;E9Q5Q0;J3QP59"	"A0A0U1RPL0;Q7TQH0-3;Q7TQH0;Q7TQH0-2;Q3TGG2;E9Q5Q0"	"Ataxin-2-like protein"	"Atxn2l"
"4"	0.5892038	0.9669791	1	"15"	0.8048815	0.7715895	0.1911405	0.8129662	1.09666	0.9913108	0.5892038	0.9669791	10	37	36	18.6	18.4	298.11	0	131.06	93862000	0.77809148	0.835443258	0.797101259	0.782099783	0.722280085	0.736237109	0.856251419	0.168409094	0.182842448	0.222169995	0.678961098	0.657932818	1.102004766	1.04096818	1.014420867	1.234592199	1.038858533	0.947389603	0.987684131	"S4R294;S4R2J9;A0A0A0MQ79;Q3TLH4-5;Q3TLH4;S4R2E2;S4R209;S4R2L9;S4R298;Q7TSC1"	"S4R294;S4R2J9;A0A0A0MQ79;Q3TLH4-5;Q3TLH4"	"Protein PRRC2C"	"Prrc2c"
"5"	0.5937969	1.070642	1	"102"	0.6645523	0.8797589	0.2370795	0.7287319	1.054553	1.42864	0.5937969	1.070642	7	11	11	18.8	18.8	101.6	0	60.667	19719000	0.817311569	0.478566498	0.792538762	0.722551644	0.906948864	0.907518864	0.824808955	NA	0.177449912	0.296709061	0.607267857	0.891232073	0.687695682	0.989827275	1.119277835	NA	NA	1.369011641	1.488268614	"A2API8;F7AA26;O54931-5;O54931-4;O54931-2;O54931;O54931-3"	"A2API8;F7AA26;O54931-5;O54931-4;O54931-2;O54931;O54931-3"	"A-kinase anchor protein 2"	"Akap2;Pakap"
"6"	0.4973736	0.6653284	1	"809"	0.6622255	0.4820585	0.3478368	0.7713588	NA	0.559298	0.4973736	0.6653284	7	29	29	19	19	191.74	0	35.26	25188000	0.582572231	0.464683235	0.726523459	0.79546988	NA	NA	0.482058525	0.406642377	0.289031237	NA	0.990294218	0.552423358	NA	NA	NA	NA	0.493067503	0.625528514	NA	"Q80XB4-2;Q80XB4;E9PZF4;Q80XB4-4;E9Q641;Q80XB4-3;F7CXG1"	"Q80XB4-2;Q80XB4;E9PZF4;Q80XB4-4;E9Q641;Q80XB4-3"	"Nebulin-related-anchoring protein"	"Nrap"
"7"	0.5564687	0.5568985	1	"654"	0.599988	0.6098609	0.4595574	0.4550018	0.5354941	0.6801994	0.5564687	0.5568985	7	20	20	21.1	21.1	141.74	0	51.553	30655000	0.555034254	0.562518895	0.519841135	0.717603922	0.443341255	0.665346444	0.720894933	0.485536903	0.433577836	NA	0.196611166	0.569812059	0.598582268	0.376523286	0.674238145	0.555720985	0.69954288	0.660855949	NA	"Q3U4Z7;Q8VDJ3;A0A087WP83;A0A087WS92;A0A087WQY9;A0A087WPC5;A0A087WPH2"	"Q3U4Z7;Q8VDJ3;A0A087WP83"	"Vigilin"	"Hdlbp"
"8"	0.4571892	0.8044626	1	"649"	0.5743204	0.599155	0.1980923	0.6780782	0.8957378	0.8395716	0.4571892	0.8044626	6	16	16	23.6	23.6	85.652	0	186.95	37430000	0.644825129	0.515794396	0.582472444	0.624694526	0.528698206	0.632720411	0.63604635	0.191115543	0.205068961	NA	0.409548253	0.796178699	0.828507543	0.757483423	0.838182926	1.091547132	0.97901088	0.70013237	NA	"Q8JZN2;Q3U1S6;Q91W50;A0A0G2JF72;A0A0G2JDJ7;A0A0G2JE62"	"Q8JZN2;Q3U1S6;Q91W50;A0A0G2JF72"	"Cold shock domain-containing protein E1"	"Csde1"
"9"	0.4741846	0.9578456	1	"322"	0.5499076	0.59237	0.2802761	0.709744	0.7568645	1.406928	0.4741846	0.9578456	8	86	72	24.2	21.7	815.63	0	302.14	209640000	0.716015096	0.5506441	0.570496261	0.528582513	0.642948985	0.487717986	0.64644295	0.300986558	0.282667428	0.257174402	0.744848132	0.730580449	0.653803527	0.722711802	0.82041949	0.727462232	1.661547661	1.270585656	1.288651586	"E9QQ96;Z4YJE4;A2AAJ9-2;A2AAJ9;H7BX05;F6TJX7;F6X8F4;F7DCJ0"	"E9QQ96;Z4YJE4;A2AAJ9-2;A2AAJ9;H7BX05"	"Obscurin"	"Obscn"
"10"	0.6594338	0.8620091	1	"269"	0.9543021	0.7792771	0.2447223	0.9255301	0.8131096	0.8473876	0.6594338	0.8620091	6	28	28	24.3	24.3	164.74	0	173.59	52080000	0.822054763	0.878975391	0.971642256	1.01228869	0.63607651	0.796622932	0.905131757	NA	NA	0.244722337	0.548274934	0.902707994	1.325607419	0.736363947	0.723699033	0.979265928	NA	NA	0.847387552	"E9PYI7;F6VG99;E9PYF4;F6TFN2;Q3UPW3;E0CZD8"	"E9PYI7;F6VG99;E9PYF4;F6TFN2"	""	"Lmo7"
